channel,freq_hz,n_day,n_night,t_stat,p_value,power
60,42.0,17,14,2.6082713193625375,0.018441844151757984,0.6298060825038465
49,58.0,17,14,2.5252933382976734,0.018706491875912504,0.6291965060800802
61,78.0,17,14,2.569363459554161,0.018790541637257376,0.6255267762751319
8,29.0,17,14,2.543093750059882,0.01883810194574978,0.6256554950962187
20,43.0,17,14,2.503121562215734,0.019035416247785375,0.6303722704426297
61,74.0,17,14,2.562101869648247,0.01917350250586872,0.6223632305618737
60,43.0,17,14,2.5887913480952243,0.019222183395050867,0.6231702431408473
61,77.0,17,14,2.558503458851634,0.01926939353104943,0.621551028238319
39,77.0,17,14,2.503335655299075,0.019478102275387817,0.623754481672423
28,53.0,17,14,2.5251001063092766,0.019508754720636304,0.6203239926374937
61,76.0,17,14,2.5513380705727298,0.01959243366791427,0.6189130948709853
61,75.0,17,14,2.551615046967883,0.019598205085691288,0.6188720812440055
60,33.0,17,14,2.556668787287247,0.019739014892876817,0.6179259952412379
49,63.0,17,14,2.501605960714067,0.01976100259484478,0.6205325767091301
61,30.0,17,14,2.4924942564020185,0.019799455484046234,0.6221029811344374
49,57.0,17,14,2.4894107557920933,0.0201433208469288,0.6182786069069277
60,44.0,17,14,2.5627794271567472,0.02029994948005572,0.614334421464031
15,34.0,17,14,2.4544154339507807,0.02052821390085316,0.6293997033539265
1,34.0,17,14,2.5336579415787424,0.020872669763936463,0.6090257581657429
39,78.0,17,14,2.4646084001590878,0.021043886114088202,0.6127667893527754
28,28.0,17,14,2.4678673819380754,0.02127745479283444,0.6090116000322813
31,40.0,17,14,2.527089822366288,0.021428981704394733,0.6049711475445267
31,41.0,17,14,2.5268489874184348,0.021472437560474875,0.6046716569901402
31,39.0,17,14,2.524237340761168,0.02150714885260792,0.604327851540457
28,54.0,17,14,2.4730612045096114,0.021568220208368304,0.6050573221897949
31,42.0,17,14,2.5235619101466162,0.021642693700311997,0.603399133835235
60,45.0,17,14,2.5314082014215824,0.021664748003480477,0.6036658184695638
49,64.0,17,14,2.4580622754088157,0.021672474729072504,0.6064163220441613
31,38.0,17,14,2.5180780364635758,0.021711878186679905,0.6027118746159973
49,56.0,17,14,2.45149791115156,0.021782783779275564,0.6066541343140289
44,59.0,17,14,2.464152510316205,0.02193005863028702,0.602566724684383
44,60.0,17,14,2.462154434858434,0.02196257766940749,0.6025086457682106
60,32.0,17,14,2.5003212628312257,0.02196812553436478,0.6004919015290523
31,43.0,17,14,2.516729093707952,0.021968552715915624,0.6009586514895107
44,48.0,17,14,2.4746178629995814,0.02199641525230715,0.6009182931220182
44,47.0,17,14,2.476233378907005,0.022032322248789444,0.6005027506009759
31,37.0,17,14,2.508422922310718,0.022053065834361788,0.6000785135668405
44,49.0,17,14,2.4698410689951937,0.02211240838845339,0.6002485566212648
44,58.0,17,14,2.4605714268897634,0.02211504166424788,0.6011899299645356
39,30.0,17,14,2.440178198828753,0.022264024777425447,0.6036060150768344
44,50.0,17,14,2.463923174984875,0.022282535121332547,0.5992231143543619
44,46.0,17,14,2.4727771443571247,0.022311739289380635,0.5983358957579685
60,64.0,17,14,2.501271230426258,0.02231551892180016,0.5980909813026413
44,57.0,17,14,2.4559308331701444,0.022321068264003492,0.5997577745904131
60,65.0,17,14,2.501005476314808,0.022349920262105295,0.597851370195678
60,9.0,17,14,2.4122623650739348,0.02241010045956307,0.6296852151270934
44,51.0,17,14,2.4583629023764386,0.022435092419610395,0.5983674547930147
44,56.0,17,14,2.4523098279777393,0.022469070737596963,0.5987798879481004
60,63.0,17,14,2.4976745456413316,0.022475491363707738,0.5969119109848192
17,45.0,17,14,2.4510433563306524,0.022480542615488736,0.59884524365918
31,44.0,17,14,2.5050900298623278,0.02251229636422085,0.5969319200740328
20,44.0,17,14,2.4249261424849364,0.022526222497593097,0.6055931953355487
44,61.0,17,14,2.447871488528914,0.02252789465487361,0.5988485353948095
44,52.0,17,14,2.453976748018172,0.022537363081167706,0.597896734997626
31,36.0,17,14,2.4949685372913146,0.022553428446867196,0.5963152813171859
44,55.0,17,14,2.4502713666760165,0.022553537540148026,0.5982231053719127
60,66.0,17,14,2.497220622605525,0.022560754266340327,0.5963275411134551
17,46.0,17,14,2.453556856699735,0.022563502816718737,0.5976969408205454
44,53.0,17,14,2.451107021583449,0.022586282955414875,0.5977849130238707
44,54.0,17,14,2.449867794275313,0.022590125104255322,0.5979153717432676
20,35.0,17,14,2.4278881393086307,0.022630777244102552,0.6026614911788296
17,44.0,17,14,2.4422667825753615,0.022706699762724457,0.5979229476096545
60,62.0,17,14,2.490040193229926,0.022842128099745573,0.5942501782757862
44,45.0,17,14,2.4631757613544565,0.02288959019659705,0.5940783643428181
17,47.0,17,14,2.4503553751640856,0.022916823697045906,0.5947602021246542
