channel,band,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
21,delta,17,14,-0.6242500514954011,0.5425376820629093,-0.22892746685018525,0.0941171682880358,0.18015674303786458,0.2603586403900083,0.8281356142478539,False
21,theta,17,14,0.07745658543032509,0.9392534718398309,0.028251388287790776,0.05065708125380691,0.12193826006745562,0.11889460425123508,0.9855584198477346,False
21,alpha,17,14,1.6709508996830034,0.10677124278702768,0.5723100766005861,0.3350721611608809,0.11233571498334002,0.07762018786244469,0.7733781459740232,False
21,beta,17,14,1.3296527420422277,0.19827437679483245,0.4492214200808634,0.22553071914413533,0.12515304496450563,0.08016475073206482,0.8027148725641158,False
21,gamma,17,14,1.6333412365137197,0.11324255009690161,0.5670654305459233,0.3299851723320013,0.05342367255403679,0.037282521651459614,0.7733781459740232,False
22,delta,17,14,-0.6717124050635742,0.5129527700068692,-0.24659091229395713,0.10134233658450686,0.191119909461509,0.2741442363173984,0.8281356142478539,False
22,theta,17,14,-0.13596201158626145,0.8934964014595685,-0.04942290207073339,0.05201256549315851,0.12555233222587633,0.13030352301023482,0.9784348108695387,False
22,alpha,17,14,0.34177684266712055,0.7352333206774435,0.12082666174904018,0.06209870475141395,0.1040722553620371,0.09574873483213506,0.9254560790776497,False
22,beta,17,14,0.6253727664935828,0.5382863408336591,0.2118508625678338,0.08767372960004134,0.09088260273695996,0.0744580093135759,0.8281356142478539,False
22,gamma,17,14,-0.0448264809320809,0.9645545140751224,-0.015549922569027137,0.0501990102529031,0.029439124140099786,0.029618989839294518,0.9855584198477346,False
23,delta,17,14,-0.7643831183340103,0.4577909828222829,-0.28080502634560944,0.11697520392548677,0.18766683653236563,0.3082860967589946,0.8281356142478539,False
23,theta,17,14,-0.15799044306444718,0.8766018365845261,-0.057761611534707075,0.05275019336785196,0.12947888328072557,0.1360804176272667,0.9784348108695387,False
23,alpha,17,14,1.3348272081639327,0.1924514107111686,0.4621587522800337,0.2359638359913331,0.11152907952412347,0.08738012436866835,0.8027148725641158,False
23,beta,17,14,1.14603688991004,0.2650223195434188,0.3871740538315711,0.17950998600919096,0.12445470320284396,0.08604261232540804,0.818451280942911,False
23,gamma,17,14,1.0629115643898779,0.2974531574828587,0.3645755541756885,0.16446587747517366,0.054379301115809936,0.04382968636960862,0.8184733809152529,False
24,delta,17,14,-0.9883254235035253,0.3410294372826952,-0.36380383496657875,0.16396872144784486,0.36144467092454446,7.597687406680856,0.8184733809152529,False
24,theta,17,14,-0.9721220308065932,0.34872672844061936,-0.35783757565404617,0.16016232149580092,0.21932724068557677,2.379963865782464,0.8184733809152529,False
24,alpha,17,14,-0.8309178463308489,0.42081152106201913,-0.30563223521049665,0.12968310784644685,0.15896397232701573,0.40310402441539817,0.8281356142478539,False
24,beta,17,14,0.8504084564889548,0.4022044680071569,0.29404518164190696,0.12360894366510884,0.15146408454421098,0.12012212035119799,0.8281356142478539,False
24,gamma,17,14,1.553255781570787,0.1392697530739593,0.5196473990338705,0.28554467274750445,0.2478533202293469,0.07143549803472549,0.7733781459740232,False
25,delta,17,14,0.23405655859660238,0.8165986838022778,0.08113047799983794,0.05543423976571482,1.1085763159766433,0.9372495030831793,0.9562400944153068,False
25,theta,17,14,0.20641711759356532,0.8379614711904859,0.07252750639271113,0.05434008532915192,0.4621783858454239,0.41634060045038923,0.9633498665146097,False
