channel,freq_hz,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
11,45.0,17,14,0.6800070912584409,0.5019463298994591,0.23559177242397253,0.096775979965469,0.0351649523746946,0.03166544646462159,0.6864235403684469,False
11,46.0,17,14,0.6813267223596131,0.5011176343423958,0.2361111404884507,0.09698660321143668,0.03449783130991026,0.03104901935099003,0.6858815860618905,False
11,47.0,17,14,0.6710155701788366,0.5075621480172221,0.23259731984033252,0.09557125256014727,0.033877561508158724,0.03051633991204746,0.691151247877194,False
11,48.0,17,14,0.6539947373466976,0.5183051759933788,0.22673952303667427,0.09326195761724448,0.033330392946874676,0.030071516703217265,0.6971838774033441,False
11,49.0,17,14,0.6340871866433543,0.5310283011140324,0.21985819973178167,0.0906290990854865,0.03286864887267681,0.029713843930174,0.7044084349535503,False
11,50.0,17,14,0.6127580110038515,0.5448443679017294,0.21246839583107252,0.08789751527838766,0.032489593456583477,0.029439801549093512,0.7130845394422592,False
11,51.0,17,14,0.5898902080860015,0.559863467940869,0.2045425072963099,0.0850776180983488,0.03218015513447562,0.029242356692573798,0.7216654420516573,False
11,52.0,17,14,0.5655923109441009,0.5760496614166685,0.19612862710685558,0.08220794264737963,0.031923716317251494,0.029108238013837606,0.7323212615236716,False
11,53.0,17,14,0.5413607886859462,0.5924192090057601,0.18774820211978813,0.0794758381561371,0.03170474418456348,0.02901660502930126,0.7417953413228882,False
11,54.0,17,14,0.5197245532091691,0.6072223478186001,0.18027370881061605,0.07714478339591956,0.03150979836732023,0.028941982927737135,0.7517564807186795,False
11,55.0,17,14,0.5028438379469187,0.6188910028003001,0.17444786475828522,0.07539669688698257,0.03132666125716344,0.02886083854885425,0.7589320326310249,False
11,56.0,17,14,0.4912790731808697,0.6269439405275121,0.17046043162917768,0.07423486116390403,0.031144375664054168,0.0287580536251338,0.7636155494229888,False
11,57.0,17,14,0.48386681747385,0.6321302137952398,0.16790458901386857,0.07350491305564674,0.03095536589363848,0.02862954144323368,0.7660680872219288,False
11,58.0,17,14,0.47872081535092353,0.635742655367868,0.1661208134483731,0.07300228669060758,0.030758196056558777,0.02848000380826186,0.7683796122431786,False
11,59.0,17,14,0.4745352438067772,0.6386890172612179,0.16464731245788375,0.07259131164302902,0.030558207628031932,0.028317832650839737,0.770647030643174,False
11,60.0,17,14,0.47117920850861766,0.6410582347150601,0.16342957192515228,0.07225455183230264,0.030364480118571194,0.028150320278460796,0.771289926704202,False
